DEBUG 2022-08-10 00:04:12,663  5176ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:04:24,395 16908ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:04:48,918  1976ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:05:15,772  2193ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:06:29,979  5163ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:06:38,475 13659ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:06:56,451 31635ms uentasDestinoItemEvent cargarAsientos                 - Invalid field name
System.Runtime.InteropServices.COMException (0xFFFFFBAE): Invalid field name
   en SAPbobsCOM.IFields.Item(Object Index)
   en BPP.Events.ItemEvent.BPP_UI.CuentasDestinoItemEvent.cargarAsientos() en D:\SMB\Sistemas\Desarrollo\LOCALIZACION\ADDON\BPP\BPP\Events\ItemEvent\BPP_UI\CuentasDestinoItemEvent.cs:línea 218
DEBUG 2022-08-10 00:07:55,187 90372ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:08:01,989 97174ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
ERROR 2022-08-10 00:14:37,459 492644ms uentasDestinoItemEvent itemAction                     - Item - Invalid item  [66000-3]. Form Unique Id: 'UDO_FT_BPP_CTADEST', Item Unique Id: 'txtTransid'
System.Runtime.InteropServices.COMException (0xFFFFE4A7): Item - Invalid item  [66000-3]. Form Unique Id: 'UDO_FT_BPP_CTADEST', Item Unique Id: 'txtTransid'
   en SAPbouiCOM.IItems.Item(Object Index)
   en BPP.Events.ItemEvent.BPP_UI.CuentasDestinoItemEvent.generarAsientos() en D:\SMB\Sistemas\Desarrollo\LOCALIZACION\ADDON\BPP\BPP\Events\ItemEvent\BPP_UI\CuentasDestinoItemEvent.cs:línea 257
